                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3113,                 7.7464,                 2.4322,                      0,                      0,                      0,                      0,                  2.774,                 4.8343,                 2.3297,              8.335e-05,              8.335e-05,              8.335e-05
                      1,                  3.293,                 7.6221,                 2.3375,                      0,                      0,                      0,                      0,                  2.489,                 4.9256,                  2.117,             0.00016522,             0.00016522,             0.00016522
                      2,                 3.1215,                  7.113,                  2.026,                0.00048,                    0.1,                0.00032,                0.00011,                  2.526,                 5.0288,                 1.9688,             0.00022728,             0.00022728,             0.00022728
                      3,                   2.85,                  6.352,                 1.7609,                0.00137,                0.28333,                0.00104,                0.00047,                 2.6188,                 4.6951,                  1.986,             0.00026954,             0.00026954,             0.00026954
                      4,                 2.7175,                 5.7918,                 1.7171,                 0.0013,                   0.25,                0.00095,                 0.0004,                 2.7876,                 4.8825,                  2.096,             0.00029199,             0.00029199,             0.00029199
                      5,                 2.7519,                 5.7122,                 1.7147,                 0.0011,                0.21667,                0.00079,                 0.0003,                  2.729,                 4.6597,                 2.1269,             0.00029464,             0.00029464,             0.00029464
                      6,                 2.5206,                 5.1164,                 1.6001,                0.00154,                0.31667,                0.00119,                0.00041,                 2.5901,                 4.6156,                 1.8061,             0.00027749,             0.00027749,             0.00027749
                      7,                 2.5021,                 4.9645,                 1.5906,                0.00172,                   0.35,                0.00129,                0.00059,                 2.2877,                 4.4949,                 1.6568,             0.00024053,             0.00024053,             0.00024053
                      8,                 2.4173,                 4.6611,                 1.5865,                0.00155,                0.31667,                0.00109,                0.00047,                 2.2903,                 4.4227,                 1.6164,             0.00018377,             0.00018377,             0.00018377
                      9,                  2.432,                 4.5945,                  1.541,                0.00137,                0.28333,                0.00092,                0.00041,                 2.3834,                 4.3166,                 1.6409,              0.0001072,              0.0001072,              0.0001072
