                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3624,                  6.343,                 2.3392,                      0,                      0,                      0,                      0,                  2.698,                 4.7762,                 2.2815,              8.335e-05,              8.335e-05,              8.335e-05
                      1,                 3.3795,                  6.223,                 2.3274,                0.00031,                   0.05,                0.00018,                  7e-05,                   2.39,                  4.858,                 2.0386,             0.00018319,             0.00018319,             0.00018319
                      2,                 3.0918,                 5.6035,                 1.9479,                0.00108,                0.28333,                 0.0009,                0.00042,                 2.7447,                 4.7237,                  2.115,             0.00028283,             0.00028283,             0.00028283
                      3,                 2.8843,                 5.1225,                 1.6958,                0.00124,                   0.25,                0.00092,                0.00037,                 2.7428,                 4.7366,                 2.3054,             0.00038227,             0.00038227,             0.00038227
                      4,                 2.7463,                 4.7031,                 1.6399,                0.00024,                   0.05,                0.00014,                  8e-05,                 2.7827,                 4.8555,                  2.208,             0.00048152,             0.00048152,             0.00048152
                      5,                 2.6486,                 4.3774,                 1.6042,                0.00058,                0.11667,                0.00035,                  6e-05,                 2.6985,                 4.8695,                 2.1906,             0.00058056,             0.00058056,             0.00058056
                      6,                 2.5591,                 4.1616,                 1.5764,                0.00057,                0.11667,                0.00033,                0.00014,                 2.7031,                 4.7805,                 2.2214,             0.00067941,             0.00067941,             0.00067941
                      7,                 2.4665,                 3.9979,                 1.5441,                0.00019,                0.03333,                 0.0001,                  3e-05,                 3.0349,                 4.6611,                 2.3184,             0.00077806,             0.00077806,             0.00077806
                      8,                 2.4445,                 3.7007,                 1.5205,                0.00019,                0.03333,                 0.0001,                  5e-05,                 3.3058,                 4.6532,                 2.4924,             0.00087651,             0.00087651,             0.00087651
                      9,                 2.5164,                 3.6124,                 1.5804,                0.00095,                0.18333,                0.00068,                0.00016,                 3.0211,                 4.4432,                 2.3289,             0.00097477,             0.00097477,             0.00097477
                     10,                 2.4481,                 3.5731,                 1.5297,                0.00088,                0.18333,                0.00763,                0.00237,                 2.7385,                 4.3536,                  2.268,              0.0010728,              0.0010728,              0.0010728
                     11,                  2.425,                  3.393,                 1.5198,                0.00106,                    0.2,                 0.0309,                0.00401,                  2.614,                 4.2332,                 2.3263,              0.0011707,              0.0011707,              0.0011707
                     12,                 2.4017,                 3.3581,                 1.5507,                0.00114,                0.23333,                0.00088,                0.00022,                  2.825,                 4.3854,                 2.4031,              0.0012683,              0.0012683,              0.0012683
                     13,                 2.3222,                 3.0067,                 1.5023,                0.00101,                    0.2,                0.00148,                0.00037,                 2.9953,                   4.47,                 2.6775,              0.0013658,              0.0013658,              0.0013658
                     14,                 2.3426,                 3.1431,                 1.5256,                0.52032,                0.03333,                0.03487,                0.02048,                 2.7178,                 4.2435,                 2.0666,              0.0014631,              0.0014631,              0.0014631
                     15,                 2.3787,                 3.0933,                 1.5186,                0.00187,                0.23333,                0.00496,                 0.0014,                 2.7059,                 4.3817,                 2.2495,              0.0015601,              0.0015601,              0.0015601
                     16,                 2.2973,                 3.0253,                 1.4469,                0.00103,                0.18333,                0.00105,                0.00029,                 3.0549,                 4.7212,                 2.8361,              0.0016406,              0.0016406,              0.0016406
                     17,                 2.3443,                  2.888,                 1.4808,                0.09595,                0.05845,                0.02012,                0.00618,                 3.0727,                 4.3178,                 2.7462,              0.0016406,              0.0016406,              0.0016406
                     18,                 2.3915,                 2.8871,                 1.5027,                0.60665,                0.06667,                0.02704,                0.00864,                 2.9774,                 3.9272,                 2.2775,              0.0016389,              0.0016389,              0.0016389
                     19,                 2.3272,                 2.7494,                 1.4672,                0.60679,                0.03333,                0.05292,                0.01051,                 2.8686,                 4.1269,                 2.0777,              0.0016373,              0.0016373,              0.0016373
                     20,                 2.3167,                 2.7647,                 1.4694,                0.00138,                0.28333,                0.00697,                0.00149,                 3.2858,                 4.0967,                 2.6883,              0.0016356,              0.0016356,              0.0016356
                     21,                 2.3568,                 2.6966,                 1.5297,                0.01776,                   0.05,                 0.0039,                0.00109,                 3.8068,                  4.624,                 3.2143,               0.001634,               0.001634,               0.001634
                     22,                 2.2953,                 2.6065,                 1.4469,                0.06349,                0.11667,                0.01932,                0.00577,                 3.0092,                 4.5711,                 2.3893,              0.0016323,              0.0016323,              0.0016323
                     23,                 2.2477,                 2.5189,                 1.4256,                0.16005,                    0.1,                0.04451,                 0.0098,                 2.8889,                 4.7947,                 2.3878,              0.0016307,              0.0016307,              0.0016307
                     24,                 2.1597,                 2.3522,                 1.4392,                0.09278,                0.26667,                0.08393,                0.04733,                 2.3535,                  3.854,                 1.8313,               0.001629,               0.001629,               0.001629
                     25,                 2.1357,                 2.3436,                 1.3893,                0.60032,                0.06667,                0.04056,                0.00866,                 2.7248,                 3.6295,                 2.1061,              0.0016274,              0.0016274,              0.0016274
                     26,                 2.0559,                 2.1912,                 1.3992,                0.23845,                0.16667,                0.12774,                0.05003,                 2.5499,                 3.7296,                 2.0726,              0.0016257,              0.0016257,              0.0016257
                     27,                 2.1355,                 2.1991,                 1.3855,                0.29178,                0.18333,                0.10116,                0.03463,                 2.6918,                 4.6827,                 2.2106,              0.0016241,              0.0016241,              0.0016241
                     28,                 2.1303,                 2.3108,                 1.3878,                0.08346,                0.13333,                0.05724,                0.01605,                 2.6716,                 4.0284,                 2.1125,              0.0016224,              0.0016224,              0.0016224
                     29,                 2.0935,                 2.2758,                 1.4154,                0.96146,                0.06667,                 0.1048,                0.04768,                 2.3734,                 3.2723,                 1.8375,              0.0016208,              0.0016208,              0.0016208
                     30,                 2.0355,                  2.244,                 1.3477,                 0.1839,                0.06667,                0.07388,                0.02477,                 2.4859,                 4.0793,                 2.0277,              0.0016191,              0.0016191,              0.0016191
                     31,                 2.0526,                 2.2056,                  1.374,                0.69124,                0.13333,                0.11917,                0.03978,                 2.5782,                 3.6413,                 2.0069,              0.0016175,              0.0016175,              0.0016175
                     32,                 2.0345,                 2.1811,                 1.3565,                 0.1031,                    0.1,                0.03434,                0.00947,                 2.9489,                 3.8604,                 2.1933,              0.0016158,              0.0016158,              0.0016158
                     33,                 1.9999,                 2.0617,                 1.3435,                0.02844,                0.03333,                0.01419,                0.00361,                 2.5997,                 3.8834,                 1.9154,              0.0016142,              0.0016142,              0.0016142
                     34,                 2.0336,                  2.076,                 1.3656,                0.04928,                0.06667,                0.04787,                0.03236,                  2.649,                 3.8686,                 2.1672,              0.0016125,              0.0016125,              0.0016125
